"","date","count"
"869","2009-05-18",426
"870","2009-05-19",395
"871","2009-05-20",471
"872","2009-05-21",440
"873","2009-05-22",563
"874","2009-05-23",556
"875","2009-05-24",471
"876","2009-05-25",443
"877","2009-05-26",392
"878","2009-05-27",419
"879","2009-05-28",420
"880","2009-05-29",497
"881","2009-05-30",508
"882","2009-05-31",443
"883","2009-06-01",552
"884","2009-06-02",422
"885","2009-06-03",450
"886","2009-06-04",487
"887","2009-06-05",535
"888","2009-06-06",550
"889","2009-06-07",448
"890","2009-06-08",425
"891","2009-06-09",426
"892","2009-06-10",437
"893","2009-06-11",454
"894","2009-06-12",505
"895","2009-06-13",489
"896","2009-06-14",408
"897","2009-06-15",463
"898","2009-06-16",460
"899","2009-06-17",452
"900","2009-06-18",411
"901","2009-06-19",505
"902","2009-06-20",490
"903","2009-06-21",412
"904","2009-06-22",403
"905","2009-06-23",390
"906","2009-06-24",405
"907","2009-06-25",409
"908","2009-06-26",486
"909","2009-06-27",501
"910","2009-06-28",459
"911","2009-06-29",420
"912","2009-06-30",404
"913","2009-07-01",551
"914","2009-07-02",486
"915","2009-07-03",590
"916","2009-07-04",626
"917","2009-07-05",443
"918","2009-07-06",387
"919","2009-07-07",383
"920","2009-07-08",380
"921","2009-07-09",420
"922","2009-07-10",478
"923","2009-07-11",507
"924","2009-07-12",389
"925","2009-07-13",379
"926","2009-07-14",405
"927","2009-07-15",418
"928","2009-07-16",437
"929","2009-07-17",465
"930","2009-07-18",545
"931","2009-07-19",447
"932","2009-07-20",389
"933","2009-07-21",437
"934","2009-07-22",432
"935","2009-07-23",422
"936","2009-07-24",498
"937","2009-07-25",505
"938","2009-07-26",423
"939","2009-07-27",401
"940","2009-07-28",410
"941","2009-07-29",372
"942","2009-07-30",442
"943","2009-07-31",528
"944","2009-08-01",611
"945","2009-08-02",502
"946","2009-08-03",387
"947","2009-08-04",360
"948","2009-08-05",387
"949","2009-08-06",399
"950","2009-08-07",485
"951","2009-08-08",518
"952","2009-08-09",434
"953","2009-08-10",382
"954","2009-08-11",384
"955","2009-08-12",397
"956","2009-08-13",402
"957","2009-08-14",530
"958","2009-08-15",501
"959","2009-08-16",424
"960","2009-08-17",396
"961","2009-08-18",388
"962","2009-08-19",395
"963","2009-08-20",431
"964","2009-08-21",488
"965","2009-08-22",499
"966","2009-08-23",441
"967","2009-08-24",383
"968","2009-08-25",396
"969","2009-08-26",372
"970","2009-08-27",387
"971","2009-08-28",502
"972","2009-08-29",482
"973","2009-08-30",481
"974","2009-08-31",417
"975","2009-09-01",514
"976","2009-09-02",399
"977","2009-09-03",474
"978","2009-09-04",562
"979","2009-09-05",588
"980","2009-09-06",570
"981","2009-09-07",432
"982","2009-09-08",431
"983","2009-09-09",419
"984","2009-09-10",420
"985","2009-09-11",473
"986","2009-09-12",499
"987","2009-09-13",412
"988","2009-09-14",377
"989","2009-09-15",398
"990","2009-09-16",429
"991","2009-09-17",370
"992","2009-09-18",497
"993","2009-09-19",461
"994","2009-09-20",450
"995","2009-09-21",382
"996","2009-09-22",413
"997","2009-09-23",420
"998","2009-09-24",449
"999","2009-09-25",523
"1000","2009-09-26",519
"1001","2009-09-27",426
"1002","2009-09-28",376
"1003","2009-09-29",441
"1004","2009-09-30",392
"1005","2009-10-01",515
"1006","2009-10-02",476
"1007","2009-10-03",464
"1008","2009-10-04",397
"1009","2009-10-05",410
"1010","2009-10-06",407
"1011","2009-10-07",424
"1012","2009-10-08",463
"1013","2009-10-09",485
"1014","2009-10-10",449
"1015","2009-10-11",420
"1016","2009-10-12",358
"1017","2009-10-13",438
"1018","2009-10-14",431
"1019","2009-10-15",481
"1020","2009-10-16",523
"1021","2009-10-17",467
"1022","2009-10-18",390
"1023","2009-10-19",432
"1024","2009-10-20",366
"1025","2009-10-21",433
"1026","2009-10-22",473
"1027","2009-10-23",491
"1028","2009-10-24",528
"1029","2009-10-25",414
"1030","2009-10-26",430
"1031","2009-10-27",402
"1032","2009-10-28",401
"1033","2009-10-29",420
"1034","2009-10-30",541
"1035","2009-10-31",482
"1036","2009-11-01",504
"1037","2009-11-02",429
"1038","2009-11-03",375
"1039","2009-11-04",413
"1040","2009-11-05",399
"1041","2009-11-06",506
"1042","2009-11-07",465
"1043","2009-11-08",401
"1044","2009-11-09",407
"1045","2009-11-10",391
"1046","2009-11-11",390
"1047","2009-11-12",447
"1048","2009-11-13",514
"1049","2009-11-14",408
"1050","2009-11-15",393
"1051","2009-11-16",409
"1052","2009-11-17",399
"1053","2009-11-18",428
"1054","2009-11-19",416
"1055","2009-11-20",506
"1056","2009-11-21",466
"1057","2009-11-22",404
"1058","2009-11-23",404
"1059","2009-11-24",409
"1060","2009-11-25",464
"1061","2009-11-26",329
"1062","2009-11-27",463
"1063","2009-11-28",432
"1064","2009-11-29",404
"1065","2009-11-30",395
"1066","2009-12-01",489
"1067","2009-12-02",448
"1068","2009-12-03",476
"1069","2009-12-04",513
"1070","2009-12-05",484
"1071","2009-12-06",373
"1072","2009-12-07",311
"1073","2009-12-08",405
"1074","2009-12-09",440
"1075","2009-12-10",439
"1076","2009-12-11",513
"1077","2009-12-12",455
"1078","2009-12-13",388
"1079","2009-12-14",426
"1080","2009-12-15",427
"1081","2009-12-16",485
"1082","2009-12-17",470
"1083","2009-12-18",532
"1084","2009-12-19",511
"1085","2009-12-20",432
"1086","2009-12-21",401
"1087","2009-12-22",394
"1088","2009-12-23",432
"1089","2009-12-24",346
"1090","2009-12-25",273
"1091","2009-12-26",356
"1092","2009-12-27",360
"1093","2009-12-28",386
"1094","2009-12-29",362
"1095","2009-12-30",400
"1096","2009-12-31",455
"1097","2010-01-01",763
"1098","2010-01-02",420
"1099","2010-01-03",377
"1100","2010-01-04",406
"1101","2010-01-05",385
"1102","2010-01-06",420
"1103","2010-01-07",414
"1104","2010-01-08",447
"1105","2010-01-09",464
"1106","2010-01-10",398
"1107","2010-01-11",361
"1108","2010-01-12",378
"1109","2010-01-13",423
"1110","2010-01-14",444
"1111","2010-01-15",536
"1112","2010-01-16",482
"1113","2010-01-17",447
"1114","2010-01-18",307
"1115","2010-01-19",391
"1116","2010-01-20",427
"1117","2010-01-21",378
"1118","2010-01-22",436
"1119","2010-01-23",505
"1120","2010-01-24",383
"1121","2010-01-25",404
"1122","2010-01-26",441
"1123","2010-01-27",481
"1124","2010-01-28",454
"1125","2010-01-29",516
"1126","2010-01-30",471
"1127","2010-01-31",435
"1128","2010-02-01",486
"1129","2010-02-02",492
"1130","2010-02-03",467
"1131","2010-02-04",445
"1132","2010-02-05",559
"1133","2010-02-06",458
"1134","2010-02-07",444
"1135","2010-02-08",401
"1136","2010-02-09",413
"1137","2010-02-10",442
"1138","2010-02-11",449
"1139","2010-02-12",488
"1140","2010-02-13",482
"1141","2010-02-14",410
"1142","2010-02-15",420
"1143","2010-02-16",417
"1144","2010-02-17",401
"1145","2010-02-18",462
"1146","2010-02-19",501
"1147","2010-02-20",457
"1148","2010-02-21",432
"1149","2010-02-22",393
"1150","2010-02-23",410
"1151","2010-02-24",400
